time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,rollout/exploration_rate,time/episodes,time/fps,rollout/ep_len_mean,train/n_updates,train/learning_rate,train/loss,eval/mean_ep_length,eval/mean_reward
249856,,,0.05,,,,39020,0.0001,0.462819704413414,128.0,9.978
250032,118653,-4.1678,0.05,2879,2,98.06,39050,0.0001,0.5694193601608276,,
250096,118675,-4.1484000000000005,0.05,2880,2,98.21,39060,0.0001,0.4762992858886719,,
250144,118701,-3.7733,0.05,2881,2,98.39,39065,0.0001,0.3868108093738556,,
250144,118701,-3.7733,,2882,2,98.39,,,,,
250224,118731,-3.8598000000000003,0.05,2883,2,98.73,39080,0.0001,0.4125836670398712,,
250232,118740,-3.9356999999999998,0.05,2884,2,98.51,,,,,
250264,118755,-3.8527,0.05,2885,2,98.84,39085,0.0001,0.3845812201499939,,
250480,118819,-3.7649999999999992,0.05,2886,2,99.1,39120,0.0001,0.5928078949451446,,
250576,118857,-3.9656000000000002,0.05,2887,2,98.45,39135,0.0001,0.3944786012172699,,
250704,118896,-4.0988,0.05,2888,2,97.9,39155,0.0001,0.47727962136268615,,
250736,118911,-4.410900000000001,0.05,2889,2,97.27,39160,0.0001,0.425478059053421,,
250800,118937,-4.319,0.05,2890,2,97.4,39170,0.0001,0.5172818928956986,,
250808,118946,-4.332999999999999,0.05,2891,2,97.05,,,,,
250840,118961,-4.2193,0.05,2892,2,96.58,39175,0.0001,0.5890630006790161,,
250880,,,0.05,,,,39180,0.0001,0.5579315632581711,114.2,3.0599999999999996
250928,119146,-3.8319999999999994,0.05,2893,2,96.42,39190,0.0001,0.34891475439071656,,
250944,119157,-3.7834999999999996,0.05,2894,2,96.49,,,,,
250952,119228,-3.5808,0.05,2895,2,95.01,39195,0.0001,0.5787455201148987,,
251296,119313,-3.2121999999999997,0.05,2896,2,94.84,39245,0.0001,0.540122640132904,,
251384,119343,-3.2668999999999992,0.05,2897,2,94.97,39260,0.0001,0.4089137852191925,,
251416,119357,-3.2817999999999996,0.05,2898,2,94.78,39265,0.0001,0.4661290943622589,,
251424,119367,-3.4473999999999996,0.05,2899,2,94.73,,,,,
251472,119388,-3.4920999999999993,0.05,2900,2,94.06,39275,0.0001,0.8146878123283386,,
251632,119426,-3.3886999999999996,0.05,2901,2,94.49,39300,0.0001,0.6154889643192292,,
